4
79
32 32
5 1 1
6 2 1
6 28 3
7 3 4
7 27 1
8 26 2
9 5 4
10 6 4
10 24 4
11 7 4
11 23 1
12 0 3
12 1 3
12 3 1
12 4 2
12 6 4
12 8 4
12 10 4
12 11 4
12 13 1
12 15 1
12 16 1
12 17 3
12 20 3
12 22 1
12 24 1
12 25 1
12 26 1
12 27 4
12 28 4
12 31 4
14 10 4
14 20 1
15 11 4
15 19 1
16 0 4
16 12 2
16 18 1
17 1 4
17 17 4
18 3 4
18 14 2
19 15 2
20 4 4
20 5 4
21 6 4
21 7 4
21 13 3
21 17 1
22 7 4
22 8 4
22 18 1
23 10 4
23 11 4
23 19 3
24 10 4
24 12 4
24 20 3
25 9 3
25 14 4
25 21 3
26 8 2
26 13 4
26 14 4
26 15 4
26 22 3
27 7 3
27 16 4
27 23 3
28 17 4
28 24 3
29 5 4
29 17 4
29 18 4
29 19 4
29 25 3
30 4 1
30 19 4
31 21 4
